customer_id,gender,age,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST_00021,Female,64,0,No,No,16,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),49.59, ,No
CUST_00022,Male,62,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.55, ,Yes
CUST_00023,Male,26,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),62.98, ,Yes
CUST_00024,Male,64,0,Yes,No,13,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),50.68, ,No
CUST_00025,Male,40,0,Yes,No,4,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.79, ,Yes
CUST_00026,Female,54,0,Yes,No,44,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),40.67, ,No
CUST_00027,Male,31,1,No,Yes,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.81, ,Yes
CUST_00028,Female,47,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),65.87, ,No
CUST_00029,Female,49,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),49.65, ,No
CUST_00030,Male,22,0,Yes,No,20,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,58.52, ,Yes
CUST_00031,Female,54,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.0, ,No
CUST_00032,Male,65,0,No,Yes,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.07, ,No
CUST_00033,Male,42,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,77.05, ,No
CUST_00034,Female,65,0,Yes,No,15,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,36.46, ,No
CUST_00035,Female,42,0,No,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0, ,No
CUST_00036,Female,57,0,No,Yes,0,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,41.74, ,No
CUST_00037,Male,18,0,No,Yes,28,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),49.3, ,Yes
CUST_00038,Male,80,0,No,No,46,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,62.34, ,Yes
CUST_00039,Female,67,0,No,No,45,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),31.65, ,No
CUST_00040,Male,40,0,Yes,Yes,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.87, ,Yes
CUST_00041,Male,18,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),62.15, ,Yes
CUST_00042,Male,49,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0, ,No
CUST_00043,Male,23,1,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.57, ,Yes
CUST_00044,Female,51,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,54.29, ,No
CUST_00045,Male,51,0,No,Yes,18,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,53.78, ,Yes
CUST_00046,Female,30,0,No,No,6,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),32.43, ,No
CUST_00047,Male,61,1,No,No,1,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,38.32, ,Yes
CUST_00048,Female,57,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.47, ,Yes
CUST_00049,Female,59,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,61.06, ,Yes
CUST_00050,Male,45,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,66.7, ,Yes
CUST_00051,Female,23,0,Yes,Yes,71,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Electronic check,53.06,3735.92,No
CUST_00052,Female,59,1,Yes,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,51.97,729.92,Yes
CUST_00053,Female,40,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,80.89,20,Yes
CUST_00054,Female,24,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.76,997.06,No
CUST_00055,Female,65,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),85.74,3144.31,Yes
CUST_00056,Female,76,0,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),47.08,63.88,No
CUST_00057,Male,44,0,No,No,30,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),40.92,1191.57,No
CUST_00058,Male,77,1,No,Yes,12,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,41.72,524.98,Yes
CUST_00059,Male,46,0,Yes,Yes,32,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,35.87,1080.56,No
CUST_00060,Male,39,0,Yes,Yes,53,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),58.33,3111.63,No
CUST_00061,Male,35,0,Yes,No,14,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,53.1,681.86,No
CUST_00062,Male,69,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),64.95,2582.61,No
CUST_00063,Female,33,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.0,732.99,No
CUST_00064,Male,56,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,65.34,811.37,Yes
CUST_00065,Male,36,1,Yes,No,31,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,85.29,2682.79,No
CUST_00066,Female,38,0,Yes,Yes,36,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,35.65,1183.31,Yes
CUST_00067,Male,60,1,No,No,30,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),35.41,1012.92,Yes
CUST_00068,Female,39,1,No,No,31,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,35.89,1041.23,No
CUST_00069,Male,38,0,No,Yes,66,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,55.3,3732.61,No
CUST_00070,Female,61,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,68.25,No
CUST_00071,Female,68,0,No,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,65.99,1010.65,Yes
CUST_00072,Male,54,1,Yes,No,6,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),42.44,203.01,Yes
CUST_00073,Male,35,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),62.73,1512.85,No
CUST_00074,Female,37,1,No,No,64,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),51.91,3323.13,No
CUST_00075,Female,46,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),22.08,916.18,No
CUST_00076,Female,49,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),30.31,728.55,Yes
CUST_00077,Female,30,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),65.99,1835.79,No
CUST_00078,Male,55,0,Yes,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),69.78,974.97,No
CUST_00079,Male,46,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,242.96,Yes
CUST_00080,Male,19,1,Yes,No,16,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,49.38,801.99,Yes
CUST_00081,Female,31,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,42.23,865.69,Yes
CUST_00082,Female,37,1,Yes,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.0,990.61,No
CUST_00083,Male,43,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,73.02,1308.51,No
CUST_00084,Male,73,0,No,Yes,36,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,26.31,938.92,No
CUST_00085,Male,48,0,No,No,45,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),75.93,3453.12,No
CUST_00086,Male,32,0,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,44.78,1053.12,No
CUST_00087,Female,48,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.0,437.53,No
CUST_00088,Female,39,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,56.79,1204.3,Yes
CUST_00089,Female,49,0,No,Yes,9,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),33.57,322.38,Yes
CUST_00090,Male,53,0,Yes,Yes,29,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24.59,723.94,Yes
CUST_00091,Male,63,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,55.86,2265.73,No
CUST_00092,Female,44,0,Yes,No,65,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,59.15,3719.01,No
CUST_00093,Female,69,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.4,515.27,No
CUST_00094,Female,58,0,No,No,12,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),31.19,405.18,Yes
CUST_00095,Female,34,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.0,979.29,No
CUST_00096,Male,78,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),64.18,1197.01,Yes
CUST_00097,Female,49,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),28.49,664.55,No
CUST_00098,Male,32,0,No,No,13,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,49.39,690.77,Yes
CUST_00099,Male,69,0,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.9,1271.62,No
CUST_00100,Male,76,0,Yes,Yes,40,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,68.7,2725.13,No
CUST_00101,Male,44,0,No,No,21,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Credit card (automatic),43.0,936.7,Yes
CUST_00102,Female,37,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.29,317.47,Yes
CUST_00103,Male,42,0,Yes,No,24,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,46.15,1186.29,Yes
CUST_00104,Male,55,0,Yes,Yes,59,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),60.45,3451.07,No
CUST_00105,Female,64,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),84.22,1710.57,Yes
CUST_00106,Male,53,0,Yes,No,41,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48.43,1943.14,No
CUST_00107,Male,46,0,No,No,8,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.76,148.69,No
CUST_00108,Female,67,0,Yes,Yes,13,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.76,632.29,Yes
CUST_00109,Male,40,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,28.1,226.32,No
CUST_00110,Male,60,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.65,1177.1,No
CUST_00111,Male,40,0,Yes,Yes,5,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),67.89,240.19,Yes
CUST_00112,Male,51,0,Yes,No,4,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),30.4,153.27,Yes
CUST_00113,Female,43,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.03,20,No
CUST_00114,Female,44,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.22,2907.39,Yes
CUST_00115,Female,39,0,No,Yes,41,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,45.27,1865.92,Yes
CUST_00116,Female,65,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,80.84,874.74,Yes
CUST_00117,Female,34,0,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.0,679.63,Yes
CUST_00118,Male,33,1,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.39,775.78,Yes
CUST_00119,Female,76,1,No,No,7,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),64.36,393.23,Yes
CUST_00120,Female,59,0,Yes,No,39,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),48.42,1891.92,No
CUST_00121,Female,18,0,No,Yes,42,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.59,2080.48,Yes
CUST_00122,Female,36,0,No,No,66,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),51.87,3439.0,No
CUST_00123,Male,18,0,No,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.75,804.69,Yes
CUST_00124,Male,30,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),48.13,1846.1,No
CUST_00125,Male,18,0,Yes,No,12,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,37.78,504.88,Yes
CUST_00126,Male,42,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),87.88,734.58,No
CUST_00127,Female,27,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,190.78,Yes
CUST_00128,Female,45,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,30.82,346.65,Yes
CUST_00129,Male,20,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),59.56,2405.07,No
CUST_00130,Female,46,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,65.15,288.61,Yes
CUST_00131,Male,38,0,Yes,No,36,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),42.52,1473.05,No
CUST_00132,Male,67,0,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,57.13,157.85,Yes
CUST_00133,Male,66,0,No,No,29,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),48.16,1315.14,Yes
CUST_00134,Male,56,0,No,No,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.89,194.53,Yes
CUST_00135,Female,40,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,57.42,2021.47,No
CUST_00136,Male,74,0,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,43.7,160.25,Yes
CUST_00137,Female,21,1,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,66.7,735.2,Yes
CUST_00138,Female,23,1,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,1139.68,Yes
CUST_00139,Male,43,0,No,Yes,2,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),58.9,80.77,Yes
CUST_00140,Female,78,1,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),64.49,68.4,Yes
CUST_00141,Female,41,1,Yes,No,1,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.95,180.05,Yes
CUST_00142,Male,42,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,49.38,2186.71,No
CUST_00143,Male,23,0,Yes,Yes,22,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),50.79,1136.29,Yes
CUST_00144,Male,59,0,No,No,34,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),40.24,1304.95,No
CUST_00145,Male,59,0,Yes,No,4,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,20.0,169.36,Yes
CUST_00146,Male,56,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),32.18,98.29,Yes
CUST_00147,Female,35,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),82.01,1834.0,Yes
CUST_00148,Male,34,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.0,283.35,No
CUST_00149,Male,25,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,62.95,1986.64,No
CUST_00150,Male,46,0,Yes,No,33,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,56.01,1816.67,No
CUST_00151,Female,28,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.0,273.17,Yes
CUST_00152,Male,27,0,No,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,65.86,2608.18,No
CUST_00153,Male,38,0,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,68.61,1373.97,Yes
CUST_00154,Male,37,0,Yes,Yes,16,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,89.49,1408.05,No
CUST_00155,Female,36,0,Yes,Yes,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.17,1138.46,No
CUST_00156,Male,51,0,Yes,No,24,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),74.22,1745.62,No
CUST_00157,Female,46,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),56.01,2515.77,No
CUST_00158,Female,40,0,No,Yes,0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),64.86,20,Yes
CUST_00159,Male,47,0,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),63.02,2058.31,Yes
CUST_00160,Female,30,0,No,No,11,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31.0,358.0,Yes
CUST_00161,Male,46,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.0,345.5,Yes
CUST_00162,Female,47,0,Yes,No,14,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),35.11,444.85,Yes
CUST_00163,Female,22,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,64.29,2645.25,No
CUST_00164,Female,59,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),45.87,1168.6,Yes
CUST_00165,Male,31,0,Yes,Yes,9,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),45.2,436.23,No
CUST_00166,Female,46,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.53,480.5,No
CUST_00167,Male,62,0,No,No,22,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,60.88,1332.09,Yes
CUST_00168,Male,58,0,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),59.31,2040.44,Yes
CUST_00169,Male,45,0,No,No,26,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),50.88,1337.39,No
CUST_00170,Female,39,1,No,No,19,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,62.61,1223.94,Yes
CUST_00171,Female,59,0,Yes,No,48,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),30.72,1450.56,No
CUST_00172,Male,55,0,No,No,12,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),45.33,464.05,No
